en_name,ingredients,course,province,region
Koi,Beef+lime juice+fish sauce+chili+herbs,main dish,Ubon Ratchathani,Northeast
Kuai Chap,Pork belly+rice noodles+soy sauce+garlic,main dish,Bangkok,Central
Kuai Tiao,Rice noodles+pork+bean sprouts+garlic+fish sauce,main dish,Bangkok,Central
Kuai Tiao Khaek,Beef+noodles+curry powder+coconut milk,main dish,Ayutthaya,Central
Kuai Tiao Kua Kai,Chicken+noodles+soy sauce+garlic,main dish,Bangkok,Central
Kuai Tiao Pak Mo,Pork+herbs+rice flour+garlic,main dish,Nakhon Pathom,Central
Kuai Tiao Mon,Rice noodles+pork+fish sauce+herbs,main dish,Nonthaburi,Central
Kuai Tiao Ruea,Rice noodles+pork+blood broth+bean sprouts,main dish,Ayutthaya,Central
Kung Chae Nam Pla,Shrimp+fish sauce+garlic+chili,main dish,Coastal provinces,South
Koey Yeung Kok Siang Bi,Herbs+pork+soy sauce,main dish,Bangkok,Central
Kao Lao,Beef broth+vegetables+garlic+fish sauce,main dish,Bangkok,Central
Kiem Ee,Rice noodles+pork+garlic+fish sauce,main dish,Bangkok,Central
Kai Koa Lae,Chicken+spices+coconut milk+turmeric,main dish,Pattani,South
Kai Katet,Chicken+spices+soy sauce+garlic,main dish,Unknown,Unknown
Kai Tai Nam,Chicken+herbs+soy sauce+garlic,main dish,Northern provinces,North
Kai Yang,Grilled chicken+soy sauce+garlic,main dish,Khon Kaen,Northeast
Kai Ob Fang,Chicken+straw+soy sauce+garlic,main dish,Rural areas,Central
Khanom Chin,Fermented rice noodles+curry+coconut milk,main dish,Various,Various
Khanom Chin Kaeng Kai Kua,Rice noodles+chicken curry+coconut milk,main dish,Various,Various
Kao Kan Jin,Rice+pork blood+garlic+fish sauce,main dish,Northern provinces,North
Kao Kha Mu,Pork leg+rice+garlic+soy sauce,main dish,Bangkok,Central
Kao Khluk Kapi,Rice+shrimp paste+garlic+chili,main dish,Bangkok,Central
Kao Chi,Grilled sticky rice+soy sauce+garlic,main dish,Rural areas,Northeast
Kao Chae,Rice in jasmine-scented water+shrimp paste balls+garlic,main dish,Central provinces,Central
Kao Soi,Curry noodles+chicken+coconut milk,main dish,Chiang Mai,North
Kao Dok Rai,Unknown,main dish,Unknown,Unknown
Kao Tom,Rice porridge+pork+garlic+fish sauce,main dish,Various,Various
Kao Pheup,Unknown,main dish,Unknown,Unknown
Kao Phat,Fried rice+soy sauce+garlic,main dish,Various,Various
Kao Phat Sapparot,Pineapple fried rice+soy sauce+garlic,main dish,Coastal provinces,South
Kao Phat American,American-style fried rice+soy sauce+garlic,main dish,Bangkok,Central
Kao Man Kaeng Kai,Chicken curry with rice+garlic+soy sauce,main dish,Various,Various
Kao Man Kai,Chicken with rice+garlic+soy sauce,main dish,Bangkok,Central
Kao Man Somtam,Rice with papaya salad+garlic+chili,main dish,Various,Various
Kao Maew,Unknown,main dish,Unknown,Unknown
Kao Yam,Rice salad+vegetables+herbs,main dish,Southern provinces,South
Kao Rad Na Kai,Rice topped with chicken+garlic+soy sauce,main dish,Bangkok,Central
Kao Raem Fuen,Unknown,main dish,Unknown,Unknown
Kao Sia Po,Unknown,main dish,Unknown,Unknown
Kao Na Ped,Rice with duck+garlic+soy sauce,main dish,Bangkok,Central
Kao Mok,Biryani rice+chicken+spices,main dish,Southern provinces,South
Kai Paam,Egg grilled in banana leaf+garlic+herbs,main dish,Northern provinces,North
Jok,Rice porridge+pork+garlic+fish sauce,main dish,Bangkok,Central
Soi Ju,Raw beef salad+herbs+garlic,main dish,Northeast provinces,Northeast
Sup,Unknown,main dish,Unknown,Unknown
Tam Tang,Cucumber salad+chili+garlic,main dish,Various,Various
Nam Tok,Grilled meat salad+chili+garlic,main dish,Various,Various
Phat Khi Mao,Drunken noodles+chili+garlic,main dish,Bangkok,Central
Phat See Ew,Stir-fried noodles+soy sauce+garlic,main dish,Bangkok,Central
Phat Thai,Thai stir-fried noodles+fish sauce+garlic,main dish,Bangkok,Central
Phra Ram Long Song,Unknown,main dish,Unknown,Unknown
Yam Tawai,Unknown,main dish,Unknown,Unknown
Yam Pla Duk Fu,Crispy catfish salad+fish sauce+garlic,main dish,Various,Various
Yam Sam Krob,Three crispy salad+fish sauce+garlic,main dish,Various,Various
Yam Yai,Mixed salad+fish sauce+garlic,main dish,Various,Various
Yen Ta Fo,Pink noodle soup+fish sauce+garlic,main dish,Bangkok,Central
Ro Yor,Unknown,main dish,Unknown,Unknown
Rad Na,Stir-fried noodles with gravy+soy sauce+garlic,main dish,Bangkok,Central
La Sao,Unknown,main dish,Unknown,Unknown
Lab,Minced meat salad+fish sauce+garlic,main dish,Northeast provinces,Northeast
Som Tam,Papaya salad+fish sauce+garlic,main dish,Various,Various
Sa Uh,Unknown,main dish,Unknown,Unknown
Suea Rong Hai,Grilled beef salad+fish sauce+garlic,main dish,Northeast provinces,Northeast
Sai Krok Isan,Isan sausage+garlic+chili,main dish,Northeast provinces,Northeast
Sai Ua,Northern sausage+garlic+chili,main dish,Northern provinces,North
Mam,Unknown,main dish,Unknown,Unknown
Mee Krob,Crispy noodles+fish sauce+garlic,main dish,Bangkok,Central
Mee Kati,Coconut milk noodles+fish sauce+garlic,main dish,Central provinces,Central
Moo Manao,Pork with lime+garlic+chili,main dish,Various,Various
Hoi Tod,Oyster omelette+fish sauce+garlic,main dish,Coastal provinces,South
Ang Kab Bob,Unknown,main dish,Unknown,Unknown
Karaang,Unknown,main dish,Unknown,Unknown
Kaeng Kradang,Pork+gelatin+herbs,main dish,Northern provinces,North
Kaeng Kari,Curry powder+coconut milk+meat,main dish,Various,Various
Kaeng Khanun,Jackfruit+pork+herbs,main dish,Northern provinces,North
Kaeng Khee Lek,Senna siamea leaves+pork+herbs,main dish,Various,Various
Kaeng Khiao Wan,Green curry paste+coconut milk+meat,main dish,Various,Various
Kaeng Kua,Curry paste+coconut milk+meat,main dish,Various,Various
Kaeng Khae,Herbs+meat+vegetables,main dish,Northern provinces,North
Kaeng Chin Chuan,Herbs+pork+fermented fish,main dish,Various,Various
Kaeng Chuet,Clear soup+meat+vegetables,main dish,Various,Various
Kaeng Chuek Som,Tamarind paste+fish+herbs,main dish,Various,Various
Kaeng To Mae Ha,Unknown,main dish,Unknown,Unknown
Kaeng Tumi,Unknown,main dish,Unknown,Unknown
Kaeng Thepho,Pork belly+curry paste+vegetables,main dish,Central provinces,Central
Kaeng Noppakao,Unknown,main dish,Unknown,Unknown
Kaeng Nok Mo,Unknown,main dish,Unknown,Unknown
Kaeng Nang Loy,Unknown,main dish,Unknown,Unknown
Kaeng Buan,Herbs+pork blood+vegetables,main dish,Central provinces,Central
Kaeng Bon,Taro stems+curry paste+meat,main dish,Various,Various
Kaeng Bum Bai,Curry paste+coconut milk+chicken,main dish,Various,Various
Kaeng Patcharee,Unknown,main dish,Unknown,Unknown
Kaeng Paa,Herbs+meat+vegetables,main dish,Various,Various
Kaeng Poe,Fermented fish+curry paste+vegetables,main dish,Northeast provinces,Northeast
Kaeng Phet,Red curry paste+coconut milk+meat,main dish,Various,Various
Kaeng Matsaman,Massaman curry paste+coconut milk+meat,main dish,Southern provinces,South
Kaeng Ron,Unknown,main dish,Unknown,Unknown
Kaeng Rawaeng,Curry paste+coconut milk+meat,main dish,Central provinces,Central
Kaeng Runjuan,Herbs+pork+shrimp paste,main dish,Central provinces,Central
Kaeng Liang,Herbs+shrimp+vegetables,main dish,Various,Various
Kaeng Somrom,Unknown,main dish,Unknown,Unknown
Kaeng Som,Sour curry paste+fish+vegetables,main dish,Various,Various
Kaeng Salae,Herbs+meat+vegetables,main dish,Various,Various
Kaeng Sap Nok,Unknown,main dish,Unknown,Unknown
Kaeng Singhon,Unknown,main dish,Unknown,Unknown
Kaeng Hong,Unknown,main dish,Unknown,Unknown
Kaeng Ngao Ngod,Unknown,main dish,Unknown,Unknown
Kaeng Lueang,Yellow curry paste+fish+vegetables,main dish,Southern provinces,South
Kaeng Hang Le,Hang Lay curry paste+pork+ginger,main dish,Northern provinces,North
Kaeng Ho,Unknown,main dish,Unknown,Unknown
Kai Hor Bai Toey,Chicken+pandan leaves+soy sauce,main dish,Various,Various
Kha Kai Super,Chicken feet+herbs+spices,main dish,Bangkok,Central
Kai Jeow,Eggs+oil+fish sauce,main dish,Various,Various
Kai Dao,Eggs+oil,main dish,Various,Various
Kai Nam,Eggs+broth+vegetables,main dish,Various,Various
Kai Yat Sai,Eggs+vegetables+meat,main dish,Various,Various
Kai Raberd,Unknown,main dish,Unknown,Unknown
Kai Look Kheuy,Hard-boiled eggs+tamarind sauce,main dish,Various,Various
Kua Kling,Ground pork+curry paste,main dish,Southern provinces,South
Ngob,Unknown,main dish,Unknown,Unknown
Cho Phak Kat,Pickled mustard greens+pork+herbs,main dish,Northern provinces,North
Cho Hraeng,Unknown,main dish,Unknown,Unknown
Jub Chai,Mixed vegetables+meat+soy sauce,main dish,Various,Various
Chu Chi,Herbs+curry paste+fish,main dish,Various,Various
Sup Khreung Nai,Offal+herbs+spices,main dish,Various,Various
Sup Singapore,Herbs+meat+spices,main dish,Various,Various
San Mo,Unknown,main dish,Unknown,Unknown
Tom Kati,Coconut milk+meat+herbs,main dish,Various,Various
Tom Kha Kai,Coconut milk+chicken+galangal,main dish,Various,Various
Tom Khreung Nai Moo,Pork offal+herbs,main dish,Various,Various
Tom Kloang,Herbs+fish+spices,main dish,Various,Various
Tom Jiw,Herbs+meat+spices,main dish,Various,Various
Tom Saep,Herbs+meat+spices,main dish,Northeast provinces,Northeast
Tom Pret,Unknown,main dish,Unknown,Unknown
Tom Yam,Herbs+shrimp+spices,main dish,Various,Various
Tom Som,Sour broth+fish+herbs,main dish,Various,Various
Tupa Sutong,Unknown,main dish,Unknown,Unknown
Tai Pla,Fermented fish entrails+curry paste+vegetables,main dish,Southern provinces,South
Tod Mun,Fish paste+herbs+spices,main dish,Various,Various
Nam Ngiao,Rice noodles+blood tofu+herbs,main dish,Northern provinces,North
Nua Nang Phao,Unknown,main dish,Unknown,Unknown
Bo Toa,Unknown,main dish,Unknown,Unknown
Pla Kok,Unknown,main dish,Unknown,Unknown
Poo Ja,Crab meat+herbs+spices,main dish,Various,Various
Phat Kaphrao,Holy basil+meat+garlic,main dish,Various,Various
Phat Khing,Ginger+meat+garlic,main dish,Various,Various
Phat Cha,Herbs+meat+spices,main dish,Various,Various
Phat Priao Wan,Sweet and sour sauce+meat+vegetables,main dish,Various,Various
Phat Phong Kari,Curry powder+meat+vegetables,main dish,Various,Various
Phat Phak Bung,Morning glory+garlic+soy sauce,main dish,Various,Various
Phat Prik Khing,Herbs+meat+spices,main dish,Various,Various
Phat Sam Muen,Herbs+meat+garlic,main dish,Various,Various
Pla,Herbs+meat+spices,main dish,Various,Various
Panaeng,Panaeng curry paste+coconut milk+meat,main dish,Various,Various
Pa Lo,Chinese five-spice+meat+soy sauce,main dish,Various,Various
Yam Kai Yang Tao,Unknown,main dish,Unknown,Unknown
Yam Kai Dao,Fried eggs+fish sauce+herbs,main dish,Various,Various
Yam Sanat,Unknown,main dish,Unknown,Unknown
La We Kadam,Unknown,main dish,Unknown,Unknown
Leng Saep,Pork spine+herbs+spices,main dish,Various,Various
Sap Yaek,Unknown,main dish,Unknown,Unknown
Mok,Unknown,main dish,Unknown,Unknown
Lon,Unknown,main dish,Unknown,Unknown
Moo Cha Muang,Pork+Garcinia cowa+herbs,main dish,Various,Various
Moo Wan,Sweetened pork+soy sauce,main dish,Various,Various
Moo Hong,Stewed pork belly+herbs+spices,main dish,Southern provinces,South
Om,Herbs+meat+vegetables,main dish,Various,Various
Oo,Unknown,main dish,Unknown,Unknown
Aeb,Unknown,main dish,Unknown,Unknown
Gruay Thip,Unknown,snack,Unknown,Unknown
Krob Kem,Rice flour+fish sauce+herbs,snack,Bangkok,Central
Kratong Thong,Rice flour+fish+vegetables,snack,Unknown,Unknown
Krabong,Unknown,snack,Unknown,Unknown
Kuay Teow Lord,Rice noodles+soy sauce+herbs,main dish,Bangkok,Central
Kari Puff,Flour+curry powder+potato,snack,Bangkok,Central
Karawek Sod Si,Unknown,snack,Unknown,Unknown
Kung Ten,Unknown,snack,Unknown,Unknown
Ko Kae,Unknown,snack,Unknown,Unknown
Kai Sam Yang,Unknown,main dish,Unknown,Unknown
Kanom Kui Chai,Flour+chives+soy sauce,snack,Various,Various
Kanom Kheng,Glutinous rice flour+sugar,dessert,Various,Various
Kanom Jeeb,Flour+pork+herbs,snack,Bangkok,Central
Kanom Tokyo,Flour+custard+sugar,dessert,Bangkok,Central
Kanom Pang Ka Kai,Flour+sugar+butter,snack,Bangkok,Central
Kanom Pang Na Moo,Pork+flour+herbs,snack,Bangkok,Central
Kanom Pak Kad,Rice flour+vegetables+soy sauce,snack,Bangkok,Central
Kanom Puang Pratad,Unknown,snack,Unknown,Unknown
Khao Kriap Kung,Shrimp paste+flour+herbs,snack,Bangkok,Central
Khao Kriap Pak Mo,Rice flour+pork+herbs,snack,Various,Various
Khao Kriap Ya Na,Rice flour+vegetables+herbs,snack,Various,Various
Khao Tom Bai Kapho,Glutinous rice+banana+coconut milk,dessert,Various,Various
Khao Tom Mat,Glutinous rice+banana+coconut milk,dessert,Various,Various
Khao Tang Na Tang,Rice crackers+coconut milk+pork,snack,Various,Various
Khao Pan,Unknown,snack,Unknown,Unknown
Khao Mao,Glutinous rice+banana+coconut milk,dessert,Various,Various
Khao Ho Tod,Unknown,snack,Unknown,Unknown
Khao Niao Ping,Glutinous rice+coconut milk,snack,Various,Various
Kai Kwam,Eggs+herbs+spices,main dish,Various,Various
Khrong Khrang Krop,Rice flour+sugar+herbs,snack,Various,Various
Khang Khao Pueak,Taro+flour+sugar,snack,Various,Various
Kaep Moo,Pork skin+salt+spices,snack,Northern provinces,North
Cho Muang,Unknown,snack,Unknown,Unknown
Chun Pia,Unknown,snack,Unknown,Unknown
Salapao,Flour+pork+sugar,snack,Various,Various
Soup Asa Ren,Herbs+vegetables+egg,soup,Bangkok,Central
Dok Kung,Unknown,snack,Unknown,Unknown
Dok Kai,Unknown,snack,Unknown,Unknown
Thung Thong,Flour+pork+vegetables,snack,Bangkok,Central
Nam Nang,Unknown,snack,Unknown,Unknown
Pla Nam,Unknown,snack,Unknown,Unknown
Pla Haeng Tang Mo,Unknown,snack,Unknown,Unknown
Pan Sip,Unknown,snack,Unknown,Unknown
Pa Thong Ko,Flour+sugar+oil,snack,Various,Various
Poh Pia,Flour+pork+vegetables,snack,Various,Various
Mata Ba,Flour+egg+vegetables,snack,Southern provinces,South
Ma Uan,Unknown,snack,Unknown,Unknown
Ma Ho,Flour+sugar+pineapple,snack,Various,Various
Miang Kham,Herbs+coconut+shrimp,snack,Various,Various
La Tiang,Unknown,snack,Unknown,Unknown
Roti,Flour+sugar+oil,snack,Various,Various
Loba,Pork+herbs+spices,main dish,Southern provinces,South
Vihok Long Rang,Unknown,snack,Unknown,Unknown
Som Choon Yam,Herbs+fruit+fish sauce,salad,Various,Various
Srong,Unknown,snack,Unknown,Unknown
Sate,Meat+spices+peanut sauce,snack,Southern provinces,South
Saku,Unknown,snack,Unknown,Unknown
Moo Takro,Unknown,snack,Unknown,Unknown
Moo Ping,Pork+soy sauce+herbs,snack,Various,Various
Rum,Unknown,snack,Unknown,Unknown
Hoi Tak,Unknown,snack,Unknown,Unknown
Hoi Siab Jim Malakor,Unknown,snack,Unknown,Unknown
A Pong,Unknown,snack,Unknown,Unknown
Otao,Unknown,snack,Unknown,Unknown
Hoi Jo,Crab+flour+herbs,snack,Southern provinces,South
Ha Kun,Unknown,snack,Unknown,Unknown
Kraya Sadt,Rice+peanuts+sugar,dessert,Various,Various
Kluay Kaek,Flour+banana+sugar,snack,Various,Various
Kluay Buat Chi,Banana+coconut milk+sugar,dessert,Various,Various
Klub Lamduan,Rice flour+sugar+coconut milk,dessert,Various,Various
Kalamae,Glutinous rice flour+coconut milk+sugar,dessert,Various,Various
Kaeng Buat,Herbs+coconut milk+sugar,dessert,Various,Various
Kanom Gong,Rice flour+sugar,dessert,Various,Various
Kanom Grok,Coconut+flour+sugar,snack,Various,Various
Kanom Ko,Rice flour+coconut+sugar,dessert,Various,Various
Kanom Kusarang,Rice flour+herbs+coconut milk,dessert,Various,Various
Kanom Geson Lam Chiek,Unknown,dessert,Unknown,Unknown
Kanom Kae Aam,Unknown,dessert,Unknown,Unknown
Kanom Kee Nu,Flour+sugar+coconut milk,snack,Various,Various
Kanom Kheaw,Pandan+coconut milk+sugar,snack,Various,Various
Kanom Khai,Eggs+flour+sugar,snack,Various,Various
Kanom Khai Nok Krata,Pandan+flour+sugar,snack,Various,Various
Kanom Khai Hong,Glutinous rice flour+sugar+coconut milk,snack,Various,Various
Kanom Krok,Rice flour+coconut milk+sugar,snack,Various,Various
Kanom Kui Ling,Rice flour+coconut+sugar,snack,Various,Various
Kanom Chak,Rice flour+sugar+coconut,snack,Various,Various
Kanom Jor Hu,Unknown,dessert,Unknown,Unknown
Kanom Chamod,Unknown,dessert,Unknown,Unknown
Kanom Chan,Rice flour+coconut milk+sugar,dessert,Various,Various
Kanom Chang Ma,Unknown,dessert,Unknown,Unknown
Kanom Tom,Glutinous rice flour+coconut+sugar,dessert,Various,Various
Kanom Tan,Palm sugar+flour+coconut milk,dessert,Various,Various
Kanom Thuai,Rice flour+coconut milk+sugar,dessert,Various,Various
Kanom Thuai Fu,Rice flour+yeast+coconut milk,dessert,Various,Various
Kanom Thang Taek,Rice flour+coconut milk+sugar,snack,Various,Various
Kanom Tua Paeb,Rice flour+herbs+sugar,snack,Various,Various
Kanom Thien,Glutinous rice flour+coconut milk+sugar,dessert,Various,Various
Kanom Nam Dok Mai,Unknown,dessert,Unknown,Unknown
Kanom Nian,Unknown,dessert,Unknown,Unknown
Kanom Ba Bin,Flour+coconut+sugar,snack,Various,Various
Kanom Beung,Rice flour+sugar+coconut milk,snack,Various,Various
Kanom Pia,Flour+green beans+sugar,snack,Various,Various
Kanom Ping,Flour+coconut milk+sugar,snack,Various,Various
Kanom Farang Kudi Chin,Flour+sugar+fruit,dessert,Various,Various
Kanom Piak Pun,Rice flour+sugar+coconut milk,dessert,Various,Various
Kanom Man Sampalang,Cassava+flour+sugar,dessert,Various,Various
Kanom Muang Phet,Unknown,dessert,Unknown,Unknown
Kanom La,Unknown,dessert,Unknown,Unknown
Kanom Luem Gluen,Rice flour+sugar+coconut milk,dessert,Various,Various
Kanom Luk Gawad,Unknown,dessert,Unknown,Unknown
